Counter	Image	class label	Myr	Viewpoint	Delta PA	v_asym	s_asym	resids	lambda_r	epsilon	A	A_2	deltapos	deltapos2	nspax	re	meanvel	varvel	skewvel	kurtvel	meansig	varsig	skewsig	kurtsig	abskewvel	abskewsig	random
0	fg3_m12_iso0.5_rotated	0	0.05	0	85.28	0.03	0.08	8.89	0.73	0.3	4.72	13.6	0.3	0.48	764	13.19	-3.25	61.37	-0.01	-1.1	44.88	15.27	0.02	1.14	0.01	0.02	1.7
1	fg3_m12_iso0.5_rotated	0	0.05	1	88.12	0.02	0.07	6.22	0.8	0.56	1.97	6.84	0.3	0.48	748	14.64	-4.3	70.89	-0.03	-0.94	44.74	17.72	-0.31	0.84	0.03	0.31	-0.37
2	fg3_m12_iso0.5_rotated	0	0.05	2	54.0	0.05	0.05	17.45	0.79	0.54	9.7	25.74	0.3	0.48	756	14.39	-4.83	70.45	-0.0	-0.94	45.2	15.11	-0.34	0.46	0.0	0.34	0.04
3	fg3_m12_iso0.5_rotated	0	0.05	3	87.11	0.02	0.06	6.66	0.81	0.54	1.77	7.77	0.43	0.21	1050	15.16	-1.64	81.0	0.01	-1.2	42.28	16.75	-0.39	0.69	0.01	0.39	1.34
4	fg3_m12_iso0.5_rotated	0	0.05	4	81.08	0.11	0.09	6.0	0.33	0.03	22.9	35.47	0.0	0.48	764	12.69	-5.37	17.73	0.11	-0.79	41.34	15.49	-0.16	0.75	0.11	0.16	-0.22
5	fg3_m12_iso0.5_rotated	0	0.05	5	37.36	0.14	0.07	6.87	0.31	0.01	24.41	28.13	0.3	0.48	764	11.47	-1.19	17.57	-0.21	-0.91	41.72	14.48	-0.01	1.62	0.21	0.01	0.4
6	fg3_m12_iso0.5_rotated	0	0.05	6	15.32	0.5	0.08	7.94	0.3	0.03	36.92	49.26	0.68	0.21	764	11.44	-5.13	17.1	0.11	-0.82	40.3	14.91	-0.39	0.86	0.11	0.39	-0.41
7	fg3_m12_iso0.5_rotated	0	0.1	0	84.24	0.03	0.06	9.63	0.72	0.26	7.19	15.95	0.43	0.77	764	12.72	5.23	63.56	-0.1	-1.08	45.29	16.48	-0.21	0.84	0.1	0.21	-3.04
8	fg3_m12_iso0.5_rotated	0	0.1	1	88.23	0.02	0.05	6.03	0.79	0.54	10.78	25.73	0.0	0.48	729	14.0	-7.44	74.39	0.02	-1.01	47.19	14.89	-0.14	0.29	0.02	0.14	1.12
9	fg3_m12_iso0.5_rotated	0	0.1	2	88.28	0.02	0.05	10.06	0.8	0.52	5.55	12.34	0.43	0.48	741	14.3	-12.25	72.56	0.05	-0.97	43.36	17.09	-0.57	0.59	0.05	0.57	0.69
10	fg3_m12_iso0.5_rotated	0	0.1	3	89.21	0.03	0.05	10.02	0.8	0.52	11.83	32.28	0.3	0.21	735	14.43	-20.85	71.92	0.16	-0.94	45.17	15.43	-0.63	0.82	0.16	0.63	0.21
11	fg3_m12_iso0.5_rotated	0	0.1	4	64.69	0.13	0.08	7.4	0.33	0.03	34.35	25.27	0.61	0.48	764	12.03	-3.18	18.52	-0.09	-0.94	40.78	16.29	-0.19	0.56	0.09	0.19	-0.73
12	fg3_m12_iso0.5_rotated	0	0.1	5	3.04	1.04	0.13	7.48	0.38	0.04	40.36	49.04	0.68	0.64	764	12.34	-12.47	16.94	0.39	-0.74	39.93	16.5	-0.09	0.55	0.39	0.09	-1.09
13	fg3_m12_iso0.5_rotated	0	0.1	6	59.61	0.13	0.09	7.14	0.32	0.06	19.46	22.37	0.43	0.88	764	12.59	-4.63	17.27	0.02	-1.01	40.98	16.1	-0.04	0.55	0.02	0.04	-0.52
14	fg3_m12_iso0.5_rotated	0	0.29	0	88.32	0.03	0.07	9.08	0.75	0.26	1.85	6.71	0.68	1.07	764	12.83	-17.36	61.62	0.09	-1.01	41.98	16.57	-0.05	0.54	0.09	0.05	0.32
15	fg3_m12_iso0.5_rotated	0	0.29	1	86.5	0.05	0.07	12.33	0.82	0.53	3.93	13.89	0.3	0.48	743	13.84	-43.47	67.57	0.29	-0.8	41.7	16.96	-0.31	0.36	0.29	0.31	0.34
16	fg3_m12_iso0.5_rotated	0	0.29	2	84.31	0.06	0.08	12.98	0.79	0.52	22.03	34.48	0.96	0.88	727	14.16	15.59	71.38	-0.19	-0.93	44.72	15.73	-0.52	1.0	0.19	0.52	1.3
17	fg3_m12_iso0.5_rotated	0	0.29	3	86.99	0.03	0.06	6.44	0.8	0.51	3.27	9.05	0.0	0.21	741	13.34	-0.49	74.42	-0.04	-1.03	43.73	17.21	-0.26	0.4	0.04	0.26	0.45
18	fg3_m12_iso0.5_rotated	0	0.29	4	77.84	0.09	0.07	5.31	0.37	0.02	33.73	43.61	0.61	0.77	764	12.31	-6.64	18.48	-0.06	-0.74	37.21	17.07	-0.18	0.25	0.06	0.18	-0.99
19	fg3_m12_iso0.5_rotated	0	0.29	5	69.15	0.12	0.11	6.19	0.33	0.08	21.61	25.73	0.3	1.07	764	12.59	-0.98	16.98	-0.08	-0.79	37.21	17.42	-0.13	-0.05	0.08	0.13	-0.83
20	fg3_m12_iso0.5_rotated	0	0.29	6	87.18	0.1	0.09	5.63	0.36	0.03	32.45	48.79	0.43	0.48	764	12.15	-1.26	17.9	-0.23	-0.79	35.52	16.43	-0.21	0.03	0.23	0.21	-0.48
21	fg3_m12_iso0.5_rotated	0	0.49	0	84.7	0.05	0.06	10.79	0.73	0.27	6.25	15.41	0.96	0.48	764	12.96	0.88	61.83	-0.08	-1.18	41.42	15.41	0.05	1.88	0.08	0.05	0.51
