Counter	Image	class label	Myr	Viewpoint	Delta PA	v_asym	s_asym	resids	lambda_r	epsilon	A	A_2	deltapos	deltapos2	nspax	re	meanvel	varvel	skewvel	kurtvel	meansig	varsig	skewsig	kurtsig	abskewvel	abskewsig	random
22	fg3_m12_iso0.5_rotated	0	0.49	1	84.03	0.06	0.06	13.56	0.79	0.53	3.38	10.22	1.21	0.48	696	13.87	4.93	74.47	-0.08	-1.1	44.39	16.95	-0.35	0.76	0.08	0.35	-2.22
23	fg3_m12_iso0.5_rotated	0	0.49	2	83.75	0.05	0.05	11.39	0.79	0.5	4.76	14.97	0.68	0.88	726	13.82	24.05	70.55	-0.31	-0.87	41.61	15.67	-0.41	0.52	0.31	0.41	0.8
24	fg3_m12_iso0.5_rotated	0	0.49	3	81.0	0.03	0.05	13.11	0.81	0.54	3.59	12.43	0.3	0.64	751	14.02	-11.9	72.93	0.05	-0.95	43.9	15.29	0.01	0.22	0.05	0.01	1.41
25	fg3_m12_iso0.5_rotated	0	0.49	4	81.97	0.11	0.08	6.94	0.35	-0.03	26.53	24.71	0.91	1.44	764	12.06	-3.29	17.73	0.15	-0.8	34.38	16.78	-0.36	-0.24	0.15	0.36	-0.74
26	fg3_m12_iso0.5_rotated	0	0.49	5	25.66	0.17	0.1	6.78	0.32	-0.02	30.26	33.96	1.09	1.07	764	11.89	2.3	16.42	-0.44	-0.65	35.73	16.15	-0.38	0.07	0.44	0.38	-1.77
27	fg3_m12_iso0.5_rotated	0	0.49	6	75.81	0.12	0.12	5.48	0.39	0.02	31.23	34.83	0.86	0.64	764	11.7	-10.0	18.1	0.3	-0.84	35.22	15.75	-0.14	0.36	0.3	0.14	0.34
28	fg3_m12_iso0.5_rotated	0	1.96	0	88.25	0.03	0.06	8.8	0.67	0.14	5.44	11.67	0.43	0.21	750	12.1	-5.2	61.17	0.02	-1.15	47.72	12.05	0.72	0.67	0.02	0.72	1.33
29	fg3_m12_iso0.5_rotated	0	1.96	1	86.58	0.02	0.04	10.49	0.76	0.49	2.57	7.62	0.0	0.48	724	13.86	-4.09	73.48	0.01	-1.06	50.11	14.56	-0.01	1.15	0.01	0.01	-1.68
30	fg3_m12_iso0.5_rotated	0	1.96	2	87.16	0.03	0.06	10.57	0.76	0.55	4.15	10.99	0.3	0.21	696	14.25	-1.57	74.9	-0.0	-1.11	53.54	14.88	0.14	0.32	0.0	0.14	-1.54
31	fg3_m12_iso0.5_rotated	0	1.96	3	87.59	0.02	0.04	9.61	0.72	0.42	3.62	12.98	0.3	0.88	707	11.67	-5.43	73.9	0.0	-1.1	51.94	13.54	-0.13	0.3	0.0	0.13	-1.41
32	fg3_m12_iso0.5_rotated	0	1.96	6	54.43	0.07	0.07	4.82	0.28	-0.25	13.33	13.46	0.0	0.48	368	11.04	-3.68	13.96	0.06	-0.92	42.48	11.1	-0.41	1.63	0.06	0.41	0.87
