Counter	Image	class label	Myr	Viewpoint	Delta PA	v_asym	s_asym	resids	lambda_r	epsilon	A	A_2	deltapos	deltapos2	nspax	re	meanvel	varvel	skewvel	kurtvel	meansig	varsig	skewsig	kurtsig	abskewvel	abskewsig	random
0	fg1_m13_iso1_rotated	0	0.05	0	87.66	0.01	0.03	7.65	0.7	0.26	3.49	11.65	0.43	0.88	1256	15.5	-7.04	74.29	0.03	-1.15	53.15	14.89	-0.49	1.08	0.03	0.49	-0.44
1	fg1_m13_iso1_rotated	0	0.05	1	88.56	0.01	0.03	7.85	0.82	0.49	7.06	25.19	0.43	0.64	1806	19.18	-3.98	92.33	0.01	-1.04	44.09	17.95	-0.14	-0.44	0.01	0.14	0.54
2	fg1_m13_iso1_rotated	0	0.05	2	65.47	0.05	0.03	18.99	0.82	0.5	4.53	18.47	0.3	0.21	1792	19.09	-0.83	92.94	-0.03	-1.06	44.57	17.42	-0.35	-0.21	0.03	0.35	-0.63
3	fg1_m13_iso1_rotated	0	0.05	3	79.14	0.03	0.03	14.32	0.82	0.49	1.72	10.97	0.3	0.21	1798	19.12	-0.05	92.94	-0.04	-1.05	44.44	18.07	-0.12	-0.61	0.04	0.12	0.4
4	fg1_m13_iso1_rotated	0	0.05	4	68.96	0.11	0.05	6.02	0.27	0.03	13.87	17.3	0.0	0.48	764	14.18	-5.8	18.51	-0.03	-0.89	56.47	12.18	-0.15	0.8	0.03	0.15	-1.18
5	fg1_m13_iso1_rotated	0	0.05	5	74.33	0.09	0.04	5.78	0.26	0.03	15.36	20.25	0.3	0.77	764	13.79	-1.65	18.5	-0.05	-0.86	56.88	12.73	-0.78	1.88	0.05	0.78	-0.11
6	fg1_m13_iso1_rotated	0	0.05	6	80.65	0.08	0.03	4.86	0.25	0.01	12.9	17.68	0.0	0.21	764	13.78	-3.17	17.89	-0.02	-0.93	57.19	11.94	-0.38	1.01	0.02	0.38	-1.16
7	fg1_m13_iso1_rotated	0	0.1	0	86.19	0.02	0.03	7.89	0.71	0.33	4.58	12.4	0.3	0.48	1256	16.06	-3.32	76.02	0.01	-1.17	53.39	14.65	-0.16	0.28	0.01	0.16	-1.1
8	fg1_m13_iso1_rotated	0	0.1	2	80.99	0.03	0.03	12.56	0.81	0.5	1.41	7.27	0.86	0.88	1756	18.4	-0.55	96.39	-0.03	-1.1	47.02	16.31	-0.2	-0.09	0.03	0.2	-1.12
9	fg1_m13_iso1_rotated	0	0.1	3	87.98	0.02	0.03	5.28	0.81	0.5	1.47	10.37	0.43	0.48	1757	18.49	5.69	95.75	-0.08	-1.08	46.77	15.45	-0.06	-0.36	0.08	0.06	-0.67
10	fg1_m13_iso1_rotated	0	0.1	4	82.37	0.08	0.04	5.67	0.27	0.05	8.24	10.54	0.3	0.48	764	14.35	-4.24	18.85	-0.02	-0.96	57.88	11.91	-0.28	1.62	0.02	0.28	-0.27
11	fg1_m13_iso1_rotated	0	0.1	5	74.5	0.09	0.03	5.44	0.25	0.05	19.96	32.05	0.3	0.77	764	14.35	-3.1	18.18	-0.18	-0.89	57.66	11.89	-0.46	0.96	0.18	0.46	1.53
12	fg1_m13_iso1_rotated	0	0.1	6	80.91	0.07	0.04	5.32	0.28	0.07	12.63	17.22	0.3	0.21	1256	14.75	-5.22	20.89	0.08	-1.03	53.25	12.87	-0.06	-0.02	0.08	0.06	-1.95
13	fg1_m13_iso1_rotated	0	0.2	0	88.79	0.04	0.05	9.03	0.7	0.28	7.79	27.4	0.68	1.5	1256	15.0	-19.59	72.43	0.18	-1.12	51.62	13.34	-0.09	-0.53	0.18	0.09	0.5
14	fg1_m13_iso1_rotated	0	0.2	1	88.68	0.01	0.03	8.01	0.81	0.53	7.72	28.32	0.43	0.48	1709	18.74	-3.93	95.23	-0.01	-1.15	47.45	14.87	-0.07	-0.17	0.01	0.07	-0.39
15	fg1_m13_iso1_rotated	0	0.2	3	85.78	0.01	0.03	7.92	0.81	0.52	8.64	30.17	0.0	0.48	1730	18.66	-4.4	94.66	0.0	-1.13	48.41	13.57	0.22	-0.67	0.0	0.22	-2.52
16	fg1_m13_iso1_rotated	0	0.2	4	54.42	0.12	0.05	5.58	0.26	0.06	23.03	19.18	0.43	0.48	764	14.33	-1.26	18.58	-0.17	-0.78	55.8	12.74	-0.46	0.85	0.17	0.46	-0.64
17	fg1_m13_iso1_rotated	0	0.2	5	79.0	0.07	0.04	5.21	0.27	0.05	21.27	18.62	0.0	0.77	764	14.05	-3.02	18.83	-0.03	-1.01	56.58	11.91	-0.17	0.61	0.03	0.17	0.72
18	fg1_m13_iso1_rotated	0	0.2	6	84.06	0.12	0.04	7.09	0.27	0.03	14.18	9.05	0.3	1.3	764	14.07	-7.59	18.12	0.05	-0.91	56.47	12.33	-0.28	0.96	0.05	0.28	0.06
19	fg1_m13_iso1_rotated	0	0.29	0	87.67	0.02	0.04	7.74	0.72	0.29	3.81	22.29	0.0	1.07	1256	15.92	2.01	75.78	-0.07	-1.15	53.88	12.39	-0.1	0.37	0.07	0.1	-0.26
20	fg1_m13_iso1_rotated	0	0.29	1	89.48	0.02	0.03	7.99	0.81	0.5	9.42	26.05	0.3	0.21	1718	18.25	5.42	95.9	-0.09	-1.11	48.73	14.17	0.08	-0.55	0.09	0.08	-0.16
21	fg1_m13_iso1_rotated	0	0.29	2	86.17	0.01	0.03	6.88	0.81	0.51	1.58	8.4	0.68	0.21	1718	18.32	-7.09	95.25	0.03	-1.11	48.37	13.87	0.3	-0.51	0.03	0.3	-0.02
22	fg1_m13_iso1_rotated	0	0.29	3	78.03	0.03	0.04	13.89	0.81	0.51	1.87	10.29	0.68	0.48	1710	18.32	-1.5	95.6	-0.01	-1.12	48.44	14.3	0.08	-0.43	0.01	0.08	-2.32
23	fg1_m13_iso1_rotated	0	0.29	4	59.44	0.1	0.03	5.23	0.25	0.02	31.74	46.13	0.43	0.64	764	13.85	-4.91	17.91	-0.0	-0.86	57.77	12.25	-0.47	2.23	0.0	0.47	1.45
24	fg1_m13_iso1_rotated	0	0.29	5	74.94	0.08	0.04	6.19	0.27	0.04	16.41	21.32	0.43	0.48	764	14.29	-3.89	18.6	-0.02	-0.85	56.69	11.02	-0.23	1.09	0.02	0.23	1.34
25	fg1_m13_iso1_rotated	0	0.29	6	86.71	0.07	0.04	4.73	0.25	0.01	21.42	34.12	0.3	0.77	764	13.75	-4.54	17.77	0.01	-0.88	57.0	11.56	-0.42	1.82	0.01	0.42	-0.43
26	fg1_m13_iso1_rotated	0	0.39	0	89.06	0.02	0.03	7.58	0.7	0.28	5.84	21.54	0.0	0.48	1256	15.34	-1.34	74.88	-0.02	-1.18	54.04	12.12	0.03	-0.12	0.02	0.03	0.43
27	fg1_m13_iso1_rotated	0	0.39	1	86.09	0.02	0.03	8.06	0.8	0.49	1.74	11.07	0.3	0.48	1666	18.78	0.16	97.02	-0.02	-1.15	51.66	12.41	-0.15	0.34	0.02	0.15	0.81
28	fg1_m13_iso1_rotated	0	0.39	2	72.01	0.04	0.04	17.75	0.81	0.5	7.72	29.92	0.3	0.48	1630	18.66	-1.11	98.17	-0.04	-1.19	49.95	13.73	-0.12	0.39	0.04	0.12	-0.38
29	fg1_m13_iso1_rotated	0	0.39	3	72.01	0.05	0.04	16.69	0.8	0.5	0.93	5.22	0.3	0.48	1647	18.47	-1.27	98.54	-0.01	-1.19	50.12	13.75	-0.17	0.49	0.01	0.17	2.13
30	fg1_m13_iso1_rotated	0	0.39	4	51.43	0.1	0.05	6.04	0.25	0.04	15.44	16.83	0.3	0.48	764	14.2	-1.67	17.68	-0.13	-0.98	56.58	11.89	-0.25	1.79	0.13	0.25	-0.14
31	fg1_m13_iso1_rotated	0	0.39	5	73.24	0.06	0.05	4.81	0.27	0.08	8.5	13.85	0.43	0.48	764	14.28	-4.86	18.17	0.1	-0.95	57.24	10.9	-0.21	0.88	0.1	0.21	0.4
32	fg1_m13_iso1_rotated	0	0.39	6	76.1	0.1	0.05	5.62	0.27	0.05	33.06	43.47	0.0	0.77	764	14.12	-2.24	18.98	-0.21	-0.96	56.84	11.01	-0.51	2.22	0.21	0.51	0.41
33	fg1_m13_iso1_rotated	0	0.49	0	85.46	0.03	0.03	8.19	0.7	0.27	7.21	31.64	0.61	0.88	1256	14.94	9.89	75.05	-0.13	-1.15	53.2	11.6	0.07	0.04	0.13	0.07	2.07
34	fg1_m13_iso1_rotated	0	0.49	1	88.15	0.02	0.03	8.73	0.79	0.51	1.76	11.94	0.0	0.21	1253	17.52	2.51	87.27	-0.03	-0.99	52.47	14.69	-0.55	0.61	0.03	0.55	-0.77
35	fg1_m13_iso1_rotated	0	0.49	2	89.19	0.01	0.03	5.06	0.8	0.54	1.15	6.56	0.0	0.48	1670	18.11	-5.12	96.16	0.01	-1.16	50.21	12.47	0.42	-0.38	0.01	0.42	1.61
36	fg1_m13_iso1_rotated	0	0.49	3	87.41	0.02	0.04	9.19	0.8	0.54	9.76	33.43	0.43	0.21	1645	18.12	-14.5	96.45	0.09	-1.15	49.97	13.33	0.21	-0.05	0.09	0.21	0.71
37	fg1_m13_iso1_rotated	0	0.49	4	18.52	0.22	0.06	6.58	0.27	0.06	18.44	22.15	0.3	0.21	764	14.05	-5.71	18.35	0.1	-0.96	55.7	11.93	-0.23	0.98	0.1	0.23	1.12
38	fg1_m13_iso1_rotated	0	0.49	5	77.4	0.09	0.04	5.27	0.27	0.05	22.95	34.47	0.3	0.64	764	14.06	-6.32	18.34	-0.07	-0.99	56.04	10.27	-0.01	1.09	0.07	0.01	0.35
39	fg1_m13_iso1_rotated	0	0.49	6	21.06	0.26	0.04	5.21	0.28	0.04	21.76	30.6	0.43	0.48	764	13.94	-9.85	18.07	0.12	-0.86	55.64	10.54	-0.06	1.61	0.12	0.06	0.09
40	fg1_m13_iso1_rotated	0	0.59	0	80.2	0.04	0.04	12.43	0.72	0.36	6.85	34.66	1.09	0.48	1256	15.85	-18.67	72.82	0.17	-1.09	53.86	11.03	0.36	-0.17	0.17	0.36	-1.75
41	fg1_m13_iso1_rotated	0	0.59	1	88.59	0.03	0.04	9.99	0.8	0.5	3.96	16.41	1.21	1.16	1648	18.66	-17.41	95.8	0.11	-1.14	50.45	13.6	0.01	-0.3	0.11	0.01	1.06
42	fg1_m13_iso1_rotated	0	0.59	2	89.06	0.02	0.04	7.09	0.8	0.51	1.68	8.64	0.0	0.21	1661	18.21	-2.86	97.23	0.0	-1.19	49.62	12.77	0.37	-0.15	0.0	0.37	0.18
43	fg1_m13_iso1_rotated	0	0.59	3	88.06	0.02	0.03	8.66	0.79	0.51	2.36	14.98	0.0	0.48	1251	17.57	-8.65	87.76	0.06	-1.0	53.16	12.99	0.0	-0.47	0.06	0.0	-0.96
44	fg1_m13_iso1_rotated	0	0.59	4	8.58	0.47	0.06	6.08	0.25	0.1	32.57	28.8	0.3	0.88	764	13.4	-5.46	17.81	-0.08	-0.97	56.55	10.78	-0.19	1.4	0.08	0.19	-0.11
