Counter	Image	class label	Myr	Viewpoint	Delta PA	v_asym	s_asym	resids	lambda_r	epsilon	A	A_2	deltapos	deltapos2	nspax	re	meanvel	varvel	skewvel	kurtvel	meansig	varsig	skewsig	kurtsig	abskewvel	abskewsig	random
14	fg3_m12_iso1_rotated	0	0.2	0	85.37	0.03	0.05	9.43	0.74	0.31	4.69	14.97	0.3	0.77	1256	15.57	1.9	80.79	-0.05	-1.16	54.5	17.36	-0.31	1.35	0.05	0.31	0.41
15	fg3_m12_iso1_rotated	0	0.2	1	81.85	0.03	0.04	14.52	0.82	0.51	1.95	12.37	0.43	0.48	1715	18.71	-3.31	101.46	-0.01	-1.11	50.68	18.99	-0.17	0.21	0.01	0.17	-0.32
16	fg3_m12_iso1_rotated	0	0.2	2	85.69	0.02	0.04	9.65	0.82	0.5	7.4	10.09	0.3	0.48	1709	18.82	-1.26	100.8	-0.02	-1.1	51.03	19.65	0.0	0.56	0.02	0.0	-2.34
17	fg3_m12_iso1_rotated	0	0.2	3	89.98	0.03	0.06	11.49	0.82	0.53	3.8	21.97	1.09	1.73	1715	18.96	2.57	101.05	-0.07	-1.1	51.83	19.3	-0.31	0.46	0.07	0.31	-3.09
18	fg3_m12_iso1_rotated	0	0.2	4	78.43	0.08	0.06	6.82	0.29	0.01	14.96	24.68	0.3	0.77	764	13.3	-2.3	19.57	-0.04	-0.63	50.86	15.96	-0.13	0.85	0.04	0.13	-0.29
19	fg3_m12_iso1_rotated	0	0.2	5	80.98	0.08	0.07	5.74	0.32	0.03	9.9	14.48	0.3	0.21	764	13.56	-2.91	20.65	0.01	-0.95	51.4	17.06	-0.24	0.75	0.01	0.24	-0.11
20	fg3_m12_iso1_rotated	0	0.2	6	82.16	0.07	0.05	6.25	0.31	0.04	18.61	24.62	0.3	0.88	764	13.61	-4.71	20.96	-0.06	-0.77	51.06	15.54	-0.12	0.8	0.06	0.12	-0.8
21	fg3_m12_iso1_rotated	0	0.29	0	89.87	0.04	0.05	10.54	0.74	0.27	6.34	24.57	0.86	0.21	1256	16.03	4.38	81.49	-0.08	-1.16	54.48	15.67	0.06	1.07	0.08	0.06	0.91
22	fg3_m12_iso1_rotated	0	0.29	1	89.36	0.02	0.04	9.42	0.81	0.51	1.89	10.08	0.43	0.48	1721	18.03	-1.28	102.79	-0.05	-1.09	51.19	18.05	0.25	0.03	0.05	0.25	-1.43
23	fg3_m12_iso1_rotated	0	0.29	2	86.03	0.02	0.04	10.06	0.81	0.52	5.91	13.23	0.0	0.48	1255	17.71	0.35	93.89	-0.04	-0.95	54.86	17.91	-0.25	0.79	0.04	0.25	0.41
24	fg3_m12_iso1_rotated	0	0.29	3	80.99	0.04	0.04	13.77	0.82	0.51	1.57	8.68	0.43	0.48	1728	18.07	2.52	101.08	-0.07	-1.05	50.27	19.58	-0.11	-0.24	0.07	0.11	-0.04
25	fg3_m12_iso1_rotated	0	0.29	4	82.36	0.08	0.06	5.77	0.33	0.02	18.42	27.35	0.3	0.77	764	14.55	-1.85	20.59	-0.02	-0.96	50.49	14.99	0.06	0.54	0.02	0.06	-0.58
26	fg3_m12_iso1_rotated	0	0.39	0	88.94	0.02	0.05	9.22	0.75	0.29	5.95	16.07	0.3	0.48	1256	16.65	-4.21	80.94	-0.0	-1.17	54.42	16.63	-0.22	0.93	0.0	0.22	-0.24
27	fg3_m12_iso1_rotated	0	0.39	1	85.71	0.02	0.04	9.08	0.81	0.51	9.96	15.69	0.3	0.48	1671	18.33	-0.52	103.58	-0.05	-1.11	52.78	18.43	0.03	0.18	0.05	0.03	-0.18
28	fg3_m12_iso1_rotated	0	0.39	2	62.37	0.05	0.04	23.57	0.81	0.52	2.93	17.83	0.3	0.48	1669	18.63	-3.43	103.1	0.01	-1.12	52.8	18.47	-0.04	0.33	0.01	0.04	-0.56
29	fg3_m12_iso1_rotated	0	0.39	3	89.38	0.02	0.04	10.32	0.81	0.51	7.92	8.99	0.0	0.64	1253	17.83	0.76	93.97	-0.02	-0.98	54.2	17.83	-0.28	1.11	0.02	0.28	-0.69
30	fg3_m12_iso1_rotated	0	0.39	4	54.27	0.1	0.07	6.3	0.32	0.08	29.33	32.23	0.0	0.77	764	13.55	0.79	20.0	-0.13	-0.84	47.75	17.03	0.25	1.54	0.13	0.25	0.25
31	fg3_m12_iso1_rotated	0	0.39	5	19.11	0.28	0.1	6.98	0.35	0.06	20.9	27.01	0.3	0.48	764	13.57	-10.63	19.68	0.14	-0.73	48.25	15.02	-0.1	0.89	0.14	0.1	-0.14
32	fg3_m12_iso1_rotated	0	0.39	6	80.42	0.07	0.06	5.92	0.33	0.05	7.89	12.64	0.43	0.64	764	13.46	-4.4	20.54	0.05	-0.9	49.16	15.22	0.01	1.57	0.05	0.01	0.4
33	fg3_m12_iso1_rotated	0	0.49	0	85.33	0.03	0.04	10.73	0.74	0.31	9.01	29.89	0.43	0.48	1256	15.47	2.6	82.52	-0.1	-1.14	55.1	16.4	-0.02	1.02	0.1	0.02	-0.33
34	fg3_m12_iso1_rotated	0	0.49	1	85.71	0.02	0.05	10.23	0.8	0.55	4.91	16.89	0.3	0.48	1252	17.4	4.75	93.93	-0.06	-0.93	55.35	16.76	0.08	-0.12	0.06	0.08	0.23
35	fg3_m12_iso1_rotated	0	0.49	2	88.94	0.02	0.04	10.67	0.81	0.53	8.84	18.69	0.3	0.21	1256	17.23	3.69	94.87	-0.09	-0.94	53.78	18.9	-0.16	-0.25	0.09	0.16	-0.26
36	fg3_m12_iso1_rotated	0	0.49	3	85.36	0.03	0.05	10.82	0.81	0.52	2.24	13.17	0.3	0.48	1256	17.98	1.33	93.23	-0.05	-0.94	55.29	16.68	0.01	0.29	0.05	0.01	1.36
37	fg3_m12_iso1_rotated	0	0.49	4	61.08	0.08	0.08	6.07	0.33	-0.04	22.36	38.42	0.0	0.48	764	14.37	0.78	21.07	-0.06	-0.81	48.75	15.26	-0.14	1.15	0.06	0.14	1.08
38	fg3_m12_iso1_rotated	0	0.49	5	79.87	0.06	0.06	5.56	0.33	-0.02	9.57	19.51	0.43	0.48	764	14.38	-2.24	20.8	0.05	-0.89	49.45	14.96	-0.07	0.94	0.05	0.07	-0.37
39	fg3_m12_iso1_rotated	0	0.49	6	80.55	0.08	0.06	6.57	0.34	0.08	30.58	53.39	0.43	0.88	1256	14.77	-0.36	23.03	-0.16	-0.98	48.86	16.78	-0.04	1.89	0.16	0.04	-1.82
40	fg3_m12_iso1_rotated	0	0.59	0	77.88	0.04	0.05	14.75	0.76	0.26	5.87	21.68	0.43	0.77	1256	16.84	-0.55	83.94	-0.07	-1.21	54.67	15.49	-0.06	0.94	0.07	0.06	-1.52
41	fg3_m12_iso1_rotated	0	0.59	1	87.42	0.03	0.04	11.55	0.81	0.5	6.9	17.22	0.43	0.77	1256	17.99	5.33	94.83	-0.1	-0.97	54.34	18.31	-0.18	0.02	0.1	0.18	-0.28
42	fg3_m12_iso1_rotated	0	0.59	2	88.83	0.02	0.04	7.64	0.82	0.5	2.4	12.21	0.0	0.21	1717	18.51	-0.92	102.68	-0.07	-1.07	52.16	19.66	-0.13	0.53	0.07	0.13	-0.09
43	fg3_m12_iso1_rotated	0	0.59	3	65.66	0.05	0.03	22.53	0.81	0.51	3.24	20.04	0.68	0.88	1256	17.36	-14.62	95.76	0.1	-0.93	53.98	18.52	-0.42	0.71	0.1	0.42	0.56
44	fg3_m12_iso1_rotated	0	0.59	4	83.03	0.08	0.06	6.19	0.32	-0.05	31.12	26.64	0.43	0.77	764	13.82	-3.72	19.83	0.11	-0.77	49.7	14.96	0.19	1.52	0.11	0.19	0.92
45	fg3_m12_iso1_rotated	0	0.59	5	85.0	0.07	0.06	5.32	0.32	0.01	11.84	18.18	0.3	0.48	764	13.43	-2.2	21.28	-0.07	-0.89	49.42	15.15	-0.2	1.32	0.07	0.2	-1.05
46	fg3_m12_iso1_rotated	0	0.59	6	84.17	0.07	0.07	5.47	0.34	-0.05	6.22	8.38	0.43	0.64	764	13.95	-2.44	21.64	0.08	-0.95	49.29	14.66	0.08	1.27	0.08	0.08	-0.07
47	fg3_m12_iso1_rotated	0	0.98	0	89.56	0.02	0.04	9.1	0.74	0.32	5.64	16.29	0.3	0.77	1256	16.01	-3.71	82.47	-0.0	-1.17	56.35	14.1	0.23	1.02	0.0	0.23	-0.71
48	fg3_m12_iso1_rotated	0	0.98	1	84.02	0.04	0.05	13.39	0.81	0.5	4.65	26.97	0.68	1.3	1254	17.96	-24.53	93.2	0.17	-0.91	54.67	16.76	-0.28	0.27	0.17	0.28	0.75
49	fg3_m12_iso1_rotated	0	0.98	2	82.8	0.04	0.03	13.7	0.82	0.53	1.5	9.04	0.0	0.21	1256	17.92	2.33	95.0	-0.07	-0.97	54.76	17.88	-0.48	0.68	0.07	0.48	-1.59
50	fg3_m12_iso1_rotated	0	0.98	3	85.46	0.02	0.04	6.99	0.81	0.51	2.81	14.46	0.43	0.48	1239	17.61	0.7	95.85	-0.02	-0.99	55.47	17.6	-0.19	-0.02	0.02	0.19	-3.16
51	fg3_m12_iso1_rotated	0	0.98	4	76.37	0.07	0.05	5.46	0.32	0.08	15.35	24.87	0.3	0.48	764	13.67	-4.77	19.98	0.01	-0.92	49.12	13.6	-0.41	0.96	0.01	0.41	0.38
52	fg3_m12_iso1_rotated	0	0.98	5	79.22	0.08	0.05	5.33	0.34	0.07	12.44	14.35	0.3	0.48	764	13.37	-1.14	20.84	-0.07	-1.0	49.78	12.85	-0.02	0.67	0.07	0.02	1.16
53	fg3_m12_iso1_rotated	0	0.98	6	88.71	0.06	0.05	5.03	0.34	-0.03	17.09	20.78	0.0	0.77	764	14.31	-3.08	21.8	-0.17	-0.82	49.73	13.62	0.05	1.68	0.17	0.05	0.5
54	fg3_m12_iso1_rotated	0	1.96	0	85.97	0.03	0.04	9.24	0.74	0.32	6.29	25.81	0.3	0.48	1256	16.4	-4.46	80.56	-0.02	-1.16	57.17	12.11	0.3	0.86	0.02	0.3	-0.47
55	fg3_m12_iso1_rotated	0	1.96	1	85.81	0.02	0.03	9.67	0.78	0.52	1.3	7.78	1.25	1.37	1245	17.35	-13.21	92.21	0.05	-0.92	58.44	15.12	0.03	0.39	0.05	0.03	-0.8
56	fg3_m12_iso1_rotated	0	1.96	2	89.59	0.02	0.04	10.39	0.78	0.51	2.54	14.91	0.91	0.64	1228	17.71	-3.4	96.38	-0.06	-1.07	59.76	16.62	0.31	-0.51	0.06	0.31	-1.1
57	fg3_m12_iso1_rotated	0	1.96	3	85.42	0.03	0.04	12.58	0.8	0.51	6.38	24.39	0.68	0.48	1618	18.39	-23.13	102.67	0.21	-1.15	55.44	15.02	0.41	0.26	0.21	0.41	0.69
58	fg3_m12_iso1_rotated	0	1.96	4	72.01	0.08	0.05	6.93	0.3	0.18	16.96	30.38	0.0	0.64	764	12.93	-3.21	19.99	-0.06	-0.91	52.44	12.05	-0.25	1.47	0.06	0.25	1.06
59	fg3_m12_iso1_rotated	0	1.96	5	86.21	0.06	0.04	4.86	0.29	0.16	15.49	22.12	0.3	0.21	764	12.83	-2.46	20.65	-0.02	-1.09	51.81	12.92	-0.48	2.24	0.02	0.48	-1.88
60	fg3_m12_iso1_rotated	0	1.96	6	79.42	0.06	0.04	5.0	0.32	0.18	10.59	20.03	0.0	0.88	764	14.22	-3.0	20.92	-0.03	-1.02	51.54	12.53	-0.75	2.8	0.03	0.75	1.05
