Counter	Image	class label	Myr	Viewpoint	Delta PA	v_asym	s_asym	resids	lambda_r	epsilon	A	A_2	deltapos	deltapos2
0	fg3_m13	1	0.2	0	1.92	0.04	0.08	7.19	0.62	0.14	2.54	8.4	0.61	0.64
1	fg3_m13	1	0.2	1	0.28	0.06	0.08	9.0	0.89	0.85	5.08	2.23	0.68	0.77
2	fg3_m13	1	0.2	2	0.56	0.04	0.06	11.17	0.89	0.82	4.36	3.02	0.3	0.21
3	fg3_m13	1	0.2	3	0.96	0.03	0.08	9.6	0.8	0.28	7.18	18.0	0.96	0.77
4	fg3_m13	1	0.2	4	2.44	0.02	0.09	8.49	0.79	0.21	2.9	8.44	0.3	0.88
5	fg3_m13	1	0.2	5	0.83	0.03	0.06	12.14	0.79	0.4	2.48	8.46	0.3	0.21
6	fg3_m13	1	0.2	6	0.89	0.05	0.08	11.26	0.89	0.85	0.53	1.35	0.3	0.48
7	fg3_m13	1	0.39	0	1.69	0.02	0.07	7.36	0.6	0.22	1.58	4.77	0.0	0.48
8	fg3_m13	1	0.39	1	9.8	0.03	0.08	12.22	0.86	0.84	5.26	3.76	0.61	0.48
9	fg3_m13	1	0.39	2	2.06	0.02	0.06	8.56	0.81	0.77	16.55	17.07	1.52	0.48
10	fg3_m13	1	0.39	3	9.1	0.03	0.1	9.31	0.88	0.32	12.54	31.26	1.36	0.21
11	fg3_m13	1	0.39	4	18.19	0.03	0.09	8.92	0.79	0.17	2.09	4.88	0.43	0.48
12	fg3_m13	1	0.39	5	4.36	0.02	0.07	6.77	0.8	0.4	8.26	11.1	0.43	0.48
13	fg3_m13	1	0.39	6	4.5	0.04	0.09	7.64	0.87	0.83	3.09	8.07	0.43	0.21
14	fg3_m13	1	0.68	0	14.08	0.05	0.06	8.17	0.32	0.25	1.73	1.61	0.3	0.48
15	fg3_m13	1	0.68	2	1.14	0.04	0.05	10.36	0.74	0.56	13.93	25.76	0.3	0.21
16	fg3_m13	1	0.68	5	12.26	0.03	0.03	15.21	0.62	0.37	9.15	13.7	0.0	0.21
17	fg3_m13	1	0.78	1	0.28	0.02	0.03	10.12	0.74	0.73	14.92	14.61	0.0	0.48
18	fg3_m13	1	0.78	2	5.17	0.03	0.05	13.78	0.73	0.62	8.14	10.31	0.43	0.64
19	fg3_m13	1	0.78	3	5.75	0.04	0.06	13.01	0.54	0.22	1.59	1.74	0.68	0.88
20	fg3_m13	1	0.78	4	2.33	0.04	0.06	8.6	0.5	0.19	5.36	9.02	0.43	0.48
21	fg3_m13	1	0.78	6	0.63	0.03	0.04	8.8	0.68	0.7	4.56	3.82	0.3	0.48
22	fg3_m13	1	0.98	1	1.68	0.03	0.04	10.71	0.79	0.75	2.73	6.52	0.43	0.64
23	fg3_m13	1	0.98	2	3.44	0.03	0.05	15.28	0.66	0.52	4.63	6.79	0.0	0.64
24	fg3_m13	1	0.98	5	2.1	0.02	0.05	15.49	0.6	0.42	10.74	16.45	0.3	0.21
25	fg3_m13	1	0.98	6	2.8	0.04	0.04	9.14	0.74	0.73	15.13	15.04	0.43	0.21
26	fg3_m13	1	1.17	0	32.0	0.05	0.07	10.0	0.36	0.08	4.54	5.69	0.0	0.48
27	fg3_m13	1	1.17	1	3.45	0.02	0.05	11.02	0.75	0.66	15.32	24.86	0.43	0.88
28	fg3_m13	1	1.17	2	7.17	0.03	0.04	13.03	0.75	0.61	14.99	6.36	0.43	0.48
29	fg3_m13	1	1.17	3	3.04	0.04	0.04	10.35	0.61	0.39	4.79	8.35	0.43	0.48
30	fg3_m13	1	1.17	4	39.79	0.04	0.04	8.45	0.34	0.05	5.0	6.77	0.0	0.48
31	fg3_m13	1	1.17	6	1.93	0.03	0.04	8.75	0.79	0.76	2.85	1.46	0.3	0.48
32	fg3_m13	1	1.37	0	18.89	0.04	0.06	9.81	0.33	0.18	1.91	2.46	0.0	0.48
