Counter	Image	class label	Myr	Viewpoint	Delta PA	v_asym	s_asym	resids	lambda_r	epsilon	A	A_2	deltapos	deltapos2
0	fg1_m13	1	0.1	0	0.45	0.03	0.05	6.33	0.59	0.12	2.87	7.52	0.0	0.77
1	fg1_m13	1	0.1	1	2.69	0.03	0.05	8.99	0.9	0.84	2.59	1.34	0.3	0.77
2	fg1_m13	1	0.1	2	1.92	0.04	0.06	10.79	0.9	0.82	2.08	1.65	0.0	0.21
3	fg1_m13	1	0.1	3	1.55	0.02	0.04	7.89	0.78	0.27	5.75	15.8	0.43	0.48
4	fg1_m13	1	0.1	4	0.33	0.02	0.06	6.79	0.78	0.21	2.46	6.77	0.3	0.21
5	fg1_m13	1	0.1	5	1.1	0.02	0.04	10.67	0.8	0.39	0.77	3.37	0.0	0.21
6	fg1_m13	1	0.1	6	0.43	0.03	0.05	8.46	0.89	0.84	0.43	1.78	0.0	0.48
7	fg1_m13	1	0.39	0	1.04	0.02	0.05	5.46	0.63	0.22	1.86	3.7	0.0	0.48
8	fg1_m13	1	0.39	1	14.5	0.04	0.05	9.08	0.88	0.83	2.02	1.48	0.91	0.21
9	fg1_m13	1	0.39	2	2.93	0.02	0.04	13.3	0.83	0.76	22.63	22.48	1.52	0.21
10	fg1_m13	1	0.39	3	9.67	0.02	0.06	6.88	0.88	0.33	7.2	14.37	0.3	0.48
11	fg1_m13	1	0.39	4	20.48	0.02	0.05	7.25	0.77	0.18	3.15	9.95	0.0	0.48
12	fg1_m13	1	0.39	5	4.28	0.02	0.04	11.04	0.79	0.37	1.65	5.77	0.0	0.21
13	fg1_m13	1	0.39	6	2.76	0.03	0.05	7.41	0.88	0.83	2.54	10.67	0.43	0.48
14	fg1_m13	1	0.49	0	89.75	0.11	0.08	25.82	0.6	0.47	0.83	2.74	0.3	1.68
15	fg1_m13	1	0.49	1	25.2	0.04	0.07	15.61	0.79	0.74	1.82	2.14	0.3	0.48
16	fg1_m13	1	0.49	2	17.11	0.05	0.1	26.91	0.84	0.83	14.16	12.44	0.61	0.48
17	fg1_m13	1	0.49	3	45.46	0.03	0.08	12.07	0.77	0.5	5.3	16.43	0.43	0.48
18	fg1_m13	1	0.49	4	31.57	0.04	0.06	6.58	0.66	0.56	15.0	47.06	0.43	0.21
19	fg1_m13	1	0.49	5	7.07	0.03	0.07	10.33	0.86	0.72	8.3	15.2	0.96	1.83
