Counter	Image	class label	Myr	Viewpoint	Delta PA	v_asym	s_asym	resids	lambda_r	epsilon	A	A_2	deltapos	deltapos2	nspax	re	meanvel	varvel	skewvel	kurtvel	meansig	varsig	skewsig	kurtsig	abskewvel	abskewsig	random
0	fg3_m10_iso1_rotated	0	0.05	0	88.28	0.02	0.05	11.18	0.67	0.3	4.13	9.95	0.43	0.48	764	13.83	-4.73	84.91	0.01	-1.19	73.76	22.58	0.05	0.34	0.01	0.05	0.84
1	fg3_m10_iso1_rotated	0	0.05	1	88.2	0.02	0.05	11.25	0.77	0.51	3.6	20.75	0.3	0.64	1252	17.3	-0.34	99.96	-0.06	-0.98	63.48	25.31	0.4	-0.3	0.06	0.4	0.67
2	fg3_m10_iso1_rotated	0	0.05	2	88.12	0.03	0.05	11.33	0.78	0.51	3.22	20.72	0.3	0.48	1253	17.71	-2.1	99.2	-0.04	-0.98	61.83	25.66	0.47	-0.42	0.04	0.47	-0.12
3	fg3_m10_iso1_rotated	0	0.05	3	88.33	0.02	0.04	11.0	0.77	0.53	6.96	20.38	0.0	0.48	1250	17.37	-0.25	100.74	-0.04	-0.99	62.87	24.69	0.48	-0.36	0.04	0.48	-0.61
4	fg3_m10_iso1_rotated	0	0.05	4	83.59	0.08	0.05	7.89	0.25	0.05	42.45	50.34	0.43	0.88	764	12.47	-5.55	23.79	-0.04	-0.84	69.95	21.09	-0.18	0.13	0.04	0.18	0.41
5	fg3_m10_iso1_rotated	0	0.05	5	87.14	0.08	0.05	7.92	0.27	0.08	18.01	27.37	0.0	0.48	764	12.72	-5.05	24.95	0.03	-0.91	68.38	20.89	-0.17	0.35	0.03	0.17	0.15
6	fg3_m10_iso1_rotated	0	0.05	6	62.43	0.1	0.08	9.2	0.25	0.05	33.5	30.31	0.43	0.64	764	12.54	-2.9	24.33	-0.07	-0.86	69.61	20.56	-0.1	0.12	0.07	0.1	0.5
7	fg3_m10_iso1_rotated	0	0.29	0	84.7	0.04	0.06	10.95	0.71	0.29	13.17	50.37	0.3	0.77	1256	15.13	6.47	88.56	-0.13	-1.24	62.98	21.57	0.64	0.79	0.13	0.64	-2.02
8	fg3_m10_iso1_rotated	0	0.29	1	86.08	0.03	0.06	12.2	0.78	0.51	9.45	22.27	0.0	0.21	1249	16.59	-0.48	101.82	-0.06	-1.01	63.59	22.94	0.5	0.48	0.06	0.5	0.49
9	fg3_m10_iso1_rotated	0	0.29	2	80.24	0.04	0.07	22.79	0.78	0.5	1.78	7.86	0.3	0.21	1236	16.54	-7.0	102.58	0.03	-1.04	62.21	23.84	0.56	0.05	0.03	0.56	0.39
10	fg3_m10_iso1_rotated	0	0.29	3	84.14	0.04	0.05	18.26	0.78	0.51	3.39	14.92	0.0	0.48	1222	16.23	4.17	102.06	-0.05	-1.02	60.74	24.26	0.49	-0.15	0.05	0.49	1.99
11	fg3_m10_iso1_rotated	0	0.29	6	73.54	0.07	0.06	6.95	0.29	0.02	15.48	15.96	0.0	0.48	764	12.68	-1.66	24.52	-0.07	-1.08	61.42	19.68	-0.34	0.55	0.07	0.34	0.35
12	fg3_m10_iso1_rotated	0	0.59	0	88.84	0.03	0.05	11.24	0.7	0.31	5.37	15.34	0.0	1.07	764	13.92	-0.64	87.8	-0.06	-1.22	70.83	20.96	0.31	0.52	0.06	0.31	1.44
13	fg3_m10_iso1_rotated	0	0.59	1	88.04	0.02	0.05	10.64	0.79	0.52	2.25	9.86	0.0	0.48	1236	16.65	-5.48	102.83	0.0	-1.06	61.9	23.68	0.49	0.16	0.0	0.49	-0.15
14	fg3_m10_iso1_rotated	0	0.59	2	86.08	0.02	0.04	11.05	0.78	0.5	11.74	29.16	0.3	0.48	1214	16.18	1.73	105.28	-0.06	-1.06	63.65	23.99	0.17	0.24	0.06	0.17	0.19
15	fg3_m10_iso1_rotated	0	0.59	3	83.97	0.05	0.07	23.07	0.78	0.5	6.15	19.41	0.43	1.16	1211	16.73	-0.26	103.23	-0.03	-1.05	62.02	24.01	0.51	-0.18	0.03	0.51	-0.83
16	fg3_m10_iso1_rotated	0	0.59	4	88.03	0.09	0.05	6.87	0.29	-0.02	7.24	10.75	0.0	0.48	764	12.61	-2.38	23.44	-0.09	-1.01	60.25	18.85	-0.29	0.31	0.09	0.29	-0.02
17	fg3_m10_iso1_rotated	0	0.59	5	83.17	0.07	0.05	6.69	0.3	-0.03	17.77	32.64	0.0	0.48	764	12.62	-2.38	24.42	0.02	-1.03	60.02	18.91	-0.33	0.37	0.02	0.33	0.39
18	fg3_m10_iso1_rotated	0	0.59	6	88.86	0.07	0.04	6.5	0.31	0.07	15.59	20.93	0.3	0.77	764	12.77	-3.08	25.19	0.01	-1.06	60.53	19.68	-0.2	0.47	0.01	0.2	1.11
19	fg3_m10_iso1_rotated	0	0.88	0	89.31	0.02	0.05	11.55	0.71	0.37	4.4	13.09	0.3	0.88	764	13.91	-5.88	87.63	0.02	-1.19	69.15	21.26	0.2	0.84	0.02	0.2	0.94
20	fg3_m10_iso1_rotated	0	0.88	1	88.73	0.02	0.05	11.12	0.78	0.5	3.32	14.04	0.3	0.21	1179	16.18	-1.83	105.09	-0.01	-1.1	62.77	23.57	0.34	0.1	0.01	0.34	0.7
