Counter	Image	class label	Myr	Viewpoint	Delta PA	v_asym	s_asym	resids	lambda_r	epsilon	A	A_2	deltapos	deltapos2	nspax	re	meanvel	varvel	skewvel	kurtvel	meansig	varsig	skewsig	kurtsig	abskewvel	abskewsig	random
21	fg3_m10_iso1_rotated	0	0.88	2	89.21	0.02	0.04	6.57	0.78	0.5	2.53	13.76	0.3	0.21	1207	15.82	-5.76	105.3	0.03	-1.09	62.45	22.91	0.65	0.24	0.03	0.65	1.22
22	fg3_m10_iso1_rotated	0	0.88	3	77.88	0.05	0.07	18.82	0.78	0.5	9.15	27.94	0.43	0.77	1192	16.68	-1.24	105.5	0.02	-1.1	63.22	23.56	0.36	0.23	0.02	0.36	1.12
23	fg3_m10_iso1_rotated	0	0.88	4	87.39	0.06	0.05	5.98	0.29	0.03	16.59	26.33	0.43	0.48	764	12.28	-3.35	23.26	-0.02	-1.07	61.0	17.35	-0.35	0.26	0.02	0.35	1.03
24	fg3_m10_iso1_rotated	0	0.88	5	82.4	0.06	0.05	6.36	0.29	0.02	26.17	37.76	0.43	0.88	764	12.25	-3.32	24.59	-0.05	-1.12	60.59	17.67	-0.25	0.84	0.05	0.25	0.57
25	fg3_m10_iso1_rotated	0	0.88	6	86.96	0.08	0.05	6.4	0.31	0.03	28.46	41.37	0.0	0.48	764	12.45	-0.65	25.36	-0.11	-1.12	59.19	17.74	-0.42	0.85	0.11	0.42	1.27
26	fg3_m10_iso1_rotated	0	0.98	0	88.62	0.02	0.04	11.33	0.73	0.26	4.29	12.6	0.43	0.48	764	14.59	-4.52	87.78	-0.0	-1.21	70.1	20.22	0.3	0.52	0.0	0.3	-0.05
27	fg3_m10_iso1_rotated	0	0.98	1	89.18	0.03	0.05	11.29	0.78	0.49	12.09	31.27	0.43	0.48	1205	15.91	1.6	105.65	-0.08	-1.08	63.66	22.14	0.46	0.55	0.08	0.46	-0.33
28	fg3_m10_iso1_rotated	0	0.98	2	86.09	0.02	0.04	10.56	0.79	0.52	2.47	10.29	0.43	0.48	1214	16.69	-6.33	103.42	0.01	-1.04	63.18	23.37	0.32	0.41	0.01	0.32	0.4
29	fg3_m10_iso1_rotated	0	0.98	4	89.42	0.06	0.04	6.13	0.3	-0.05	17.75	19.61	0.0	0.48	764	12.56	-6.15	23.2	-0.04	-1.02	59.77	17.54	-0.23	1.11	0.04	0.23	-0.33
30	fg3_m10_iso1_rotated	0	0.98	5	87.22	0.07	0.05	6.05	0.31	0.09	15.97	22.51	0.3	0.88	764	12.83	-5.46	23.51	-0.06	-1.13	59.68	17.51	-0.12	0.4	0.06	0.12	0.37
31	fg3_m10_iso1_rotated	0	0.98	6	75.01	0.06	0.07	9.05	0.32	0.07	4.05	7.08	0.43	1.16	764	12.44	-8.48	25.51	0.16	-1.08	60.63	17.23	-0.36	0.58	0.16	0.36	0.16
32	fg3_m10_iso1_rotated	0	1.17	0	87.78	0.02	0.04	10.44	0.73	0.36	2.32	9.35	0.3	0.48	764	14.4	-7.69	86.17	0.01	-1.21	67.61	20.67	0.38	0.83	0.01	0.38	0.11
33	fg3_m10_iso1_rotated	0	1.17	1	89.46	0.04	0.06	15.7	0.78	0.52	10.32	15.57	0.61	0.64	1156	16.28	-10.33	104.49	0.04	-1.13	64.28	21.79	0.65	0.32	0.04	0.65	-0.88
34	fg3_m10_iso1_rotated	0	1.17	2	89.21	0.02	0.05	10.82	0.79	0.51	4.32	20.06	0.0	0.21	1195	16.8	0.16	105.33	-0.05	-1.09	63.81	22.82	0.62	0.0	0.05	0.62	-0.69
35	fg3_m10_iso1_rotated	0	1.17	3	87.63	0.02	0.03	7.22	0.78	0.52	10.52	22.97	0.0	0.48	1184	15.99	1.84	105.9	-0.06	-1.09	63.34	22.29	0.62	0.26	0.06	0.62	-0.72
36	fg3_m10_iso1_rotated	0	1.17	4	78.28	0.08	0.06	7.11	0.3	0.09	25.23	28.65	0.0	0.48	764	12.96	-3.6	23.03	-0.09	-1.04	59.35	16.96	-0.29	0.69	0.09	0.29	-0.18
37	fg3_m10_iso1_rotated	0	1.17	5	87.57	0.06	0.04	5.68	0.31	0.05	17.11	25.73	0.0	0.48	764	13.22	-3.44	23.92	0.03	-1.15	59.97	16.61	-0.21	0.48	0.03	0.21	0.68
38	fg3_m10_iso1_rotated	0	1.17	6	83.64	0.06	0.04	5.74	0.32	-0.02	13.12	18.76	0.0	0.77	764	12.94	-2.45	25.4	-0.01	-1.2	59.19	17.51	-0.42	0.65	0.01	0.42	-1.98
39	fg3_m10_iso1_rotated	0	1.47	0	87.53	0.03	0.04	9.82	0.74	0.34	7.59	34.51	0.3	0.77	1256	15.98	-1.47	90.88	-0.02	-1.23	62.07	19.91	0.8	0.76	0.02	0.8	-1.35
40	fg3_m10_iso1_rotated	0	1.47	1	88.14	0.02	0.04	7.74	0.79	0.51	6.3	22.1	0.3	0.21	1219	17.02	-2.33	103.51	-0.04	-1.04	62.62	22.55	0.53	0.08	0.04	0.53	-0.72
41	fg3_m10_iso1_rotated	0	1.47	2	88.92	0.03	0.04	11.1	0.78	0.51	4.01	16.24	0.3	0.48	1187	16.34	-2.4	105.41	-0.01	-1.07	63.62	22.0	0.68	0.14	0.01	0.68	1.52
42	fg3_m10_iso1_rotated	0	1.47	4	84.08	0.08	0.05	6.71	0.3	0.12	16.57	23.08	0.3	0.21	764	13.29	-5.12	21.79	0.1	-0.95	59.88	17.88	-0.37	0.57	0.1	0.37	-0.92
43	fg3_m10_iso1_rotated	0	1.47	5	79.59	0.06	0.04	6.02	0.33	0.08	18.24	30.81	0.0	0.77	764	13.2	-5.07	24.93	0.06	-1.2	59.78	17.82	-0.17	0.43	0.06	0.17	1.48
44	fg3_m10_iso1_rotated	0	1.47	6	86.13	0.07	0.05	6.5	0.32	0.04	19.7	23.36	0.3	1.07	764	13.06	-2.92	25.25	-0.07	-1.14	60.22	17.29	-0.15	0.54	0.07	0.15	-1.28
45	fg3_m10_iso1_rotated	0	1.76	0	88.63	0.03	0.04	10.58	0.7	0.31	6.83	22.51	0.3	0.48	764	14.35	-0.62	87.2	-0.07	-1.23	71.15	20.39	0.42	0.43	0.07	0.42	-0.33
46	fg3_m10_iso1_rotated	0	1.76	1	87.49	0.02	0.05	10.81	0.78	0.48	3.61	15.99	0.43	0.48	1200	17.18	-0.82	103.83	-0.04	-1.09	64.52	21.9	0.71	0.58	0.04	0.71	-0.4
47	fg3_m10_iso1_rotated	0	1.76	2	88.66	0.02	0.04	11.15	0.77	0.52	2.99	11.06	0.3	0.48	1158	15.61	-4.88	106.57	-0.02	-1.16	65.77	21.49	0.7	0.1	0.02	0.7	1.29
48	fg3_m10_iso1_rotated	0	1.76	3	87.84	0.02	0.04	10.62	0.79	0.53	2.89	15.07	0.0	0.48	1145	17.28	0.71	105.83	-0.03	-1.09	65.63	21.33	0.6	0.5	0.03	0.6	-0.63
49	fg3_m10_iso1_rotated	0	1.76	4	78.26	0.07	0.06	5.97	0.28	0.18	15.17	26.34	0.0	0.48	764	14.11	-3.37	22.42	-0.07	-1.19	62.46	16.25	0.12	0.52	0.07	0.12	0.97
50	fg3_m10_iso1_rotated	0	1.76	5	78.77	0.07	0.04	5.73	0.31	0.16	14.71	21.07	0.0	0.64	764	11.78	-5.96	24.5	0.1	-1.16	61.79	16.05	0.18	0.24	0.1	0.18	1.9
51	fg3_m10_iso1_rotated	0	1.76	6	84.6	0.07	0.05	6.33	0.32	0.22	17.87	23.94	0.3	0.77	764	14.24	-2.69	24.56	-0.05	-1.0	62.01	16.08	0.18	0.28	0.05	0.18	-0.13
52	fg3_m10_iso1_rotated	0	1.96	0	89.17	0.02	0.04	10.38	0.71	0.3	3.3	10.03	0.43	0.48	764	14.55	-7.56	86.24	0.01	-1.19	69.84	21.01	0.33	0.35	0.01	0.33	-1.47
53	fg3_m10_iso1_rotated	0	1.96	1	85.01	0.02	0.04	12.4	0.78	0.52	3.87	12.5	0.43	0.64	1176	16.93	-3.97	104.67	-0.05	-1.09	66.48	19.79	0.95	0.78	0.05	0.95	-0.54
54	fg3_m10_iso1_rotated	0	1.96	2	89.08	0.02	0.04	6.87	0.77	0.52	2.47	10.75	0.3	0.48	1153	16.28	-1.25	106.2	-0.06	-1.14	67.07	20.52	0.83	0.57	0.06	0.83	-1.76
55	fg3_m10_iso1_rotated	0	1.96	3	85.31	0.02	0.03	7.2	0.78	0.55	3.11	9.43	0.3	0.21	1166	16.38	-1.52	105.74	0.01	-1.12	65.76	20.69	0.6	0.49	0.01	0.6	-0.14
56	fg3_m10_iso1_rotated	0	1.96	4	69.51	0.08	0.06	7.07	0.28	0.04	11.01	10.66	0.0	0.48	764	12.96	-5.03	22.28	0.02	-1.08	63.67	16.2	0.27	0.12	0.02	0.27	0.87
57	fg3_m10_iso1_rotated	0	1.96	5	85.63	0.06	0.05	6.03	0.3	0.06	24.02	29.44	0.0	0.77	764	13.26	-5.7	23.98	-0.02	-1.14	62.12	16.2	0.39	0.26	0.02	0.39	-1.53
58	fg3_m10_iso1_rotated	0	1.96	6	80.13	0.06	0.05	6.33	0.31	0.04	10.55	19.81	0.3	0.48	764	13.15	-3.48	24.42	-0.02	-1.18	62.64	15.58	0.2	0.48	0.02	0.2	-1.47
