Counter	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
0	q0.333_fg0.1_allrx10_sunruns/hires_kin_early_cen1/broadband_010.fits	1	0.1	0	1	0	0	0.522808723315743	-1.793580479175797	2.7000713320800007	-0.066398023517002	-0.04677521121769818	0.921	0.07970841115874296
1	q0.333_fg0.1_allrx10_sunruns/hires_kin_early_cen1/broadband_050.fits	1	0.49	0	1	0	0	0.5243600917876746	-1.619245173537343	3.2203286326502836	0.08843696543494095	0.023122912893774803	0.5855	0.46868075236401435
2	q0.333_fg0.1_allrx10_sunruns/hires_kin_early_cen1/broadband_060.fits	1	0.59	0	1	0	0	0.6290622915238561	-1.8167922288231158	3.9900219502690875	0.06579586085137155	-0.08470475800940873	0.8884	0.5215171997663626
3	q0.333_fg0.1_allrx10_sunruns/hires_kin_early_cen1/broadband_070.fits	1	0.68	0	1	0	0	0.5946462202340939	-2.0597979395482073	3.803344561958808	0.11574232916825944	0.014272183745099122	2.3392	0.3476613085960501
4	q0.333_fg0.1_allrx10_sunruns/hires_kin_early_cen1/broadband_090.fits	1	0.88	0	1	0	0	0.5792851840888747	-2.4281292607264526	4.971699950257959	0.021748358183016764	-0.004578702313293834	16.988	0.19464782226365626
5	q0.333_fg0.1_allrx10_sunruns/hires_kin_early_cen1/broadband_120.fits	1	1.17	0	1	0	0	0.5861161093667576	-2.5697920588710317	4.9752386281703505	-0.0007622363240118858	-0.005062291222943118	17.803	0.11443518582622351
6	q0.333_fg0.1_allrx10_sunruns/hires_kin_early_cen1/broadband_130.fits	1	1.27	0	1	0	0	0.5975760376074333	-2.504740259875409	4.862496195157661	0.013283516832011013	-0.009697874308700182	19.244	0.22286725671115792
7	q0.333_fg0.1_allrx10_sunruns/hires_kin_early_cen1/broadband_140.fits	1	1.37	0	1	0	0	0.5996492332581307	-2.557691024893611	5.403844576138304	-0.034102913043634615	-0.09833004285865264	19.815	0.1807660159835309
8	q0.333_fg0.1_allrx10_sunruns/hires_kin/broadband_145.fits	1	1.42	0	2	0	0	0.6028777236475489	-2.5164377418688475	5.310723371764103	-0.021816766230228032	-0.15689904787482464	0.2562	0.3169069167184846
9	q0.333_fg0.1_allrx10_sunruns/hires_kin/broadband_150.fits	1	1.47	0	1	0	0	0.5954214674983352	-2.7251880166975977	5.152793214755064	0.0034020315081708715	-0.003048767897334451	19.992	0.27266657846834497
10	q0.333_fg0.1_allrx10_sunruns/hires_kin/broadband_155.fits	1	1.52	0	1	0	0	0.6027049825463501	-2.603241523844557	5.068143342593179	0.038363829046421105	-0.0016825508323220207	19.99	0.307370811899068
11	q0.333_fg0.1_allrx10_sunruns/hires_kin/broadband_170.fits	1	1.66	0	1	0	0	0.6098653492577778	-2.6463770274222487	5.014117242069823	-0.048524424305277855	-0.010365188752551898	17.72	0.25312010605313556
12	q0.333_fg0.1_allrx10_sunruns/hires_kin/broadband_175.fits	1	1.71	0	1	0	0	0.5781776811155708	-2.536606913444051	4.83117314234436	-0.009372497579544597	-0.004968918234066673	19.531	0.18802266323760683
13	q0.333_fg0.1_allrx10_sunruns/hires_kin/broadband_180.fits	1	1.76	0	1	0	0	0.591500709999563	-2.600519788563932	4.976641894414661	-0.03690882394629859	-0.017444792773616102	19.241	0.23263815912224944
