Counter	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
72	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_150.fits	1	1.47	2	1	0	0	0.6045109212761806	-2.2614362968204595	3.8004616990729216	0.0678434629201085	0.007475104306677603	3.9763	0.40333079930689175
73	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_170.fits	1	1.66	2	1	0	0	0.602260077951527	-2.291913865433242	4.102442686450768	0.07262000385104721	0.006698906465996367	3.9518	0.2724678453466883
74	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_180.fits	1	1.76	2	1	0	0	0.5840807786495252	-2.2579901071654493	3.8151406868532254	0.020697138363176857	-0.004640769732991781	3.6935	0.3382214091897535
75	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_190.fits	1	1.86	2	1	0	0	0.598013103559426	-1.9237713916094594	3.5536179824400143	0.049676684649502985	0.0013758781823319823	2.8213	0.3506117448579422
76	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_220.fits	1	2.15	2	2	8.940962123532607	7.985093393423098	0.6071070070108779	-1.1593523718408674	4.265800357835422	0.19754027317608056	0.020261486190769576	6.4349	0.6398558330094712
77	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_235.fits	1	2.3	2	2	14.11923961302452	9.043988469993193	0.5481177602099601	-2.1463472935031342	4.056029827544493	0.04453663774854327	-0.007044152427578195	3.6477	0.36127058350438673
78	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_237.fits	1	2.32	2	2	13.94235216983772	10.858254084909671	0.5582214690816351	-2.2316834090657	3.9676794686431056	0.06097152643363237	-0.0026195395384065604	4.1191	0.2557432944963129
79	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_240.fits	1	2.35	2	2	13.212885214609454	11.552607009693004	0.5497958103163856	-2.2388556279199876	3.8207360739744995	0.06569248588035859	-0.0026694631120795565	4.2162	0.2565525973405499
80	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_242.fits	1	2.37	2	2	12.387066890062776	11.960793707516656	0.5663015333923624	-2.3040989701526695	3.9794369051891367	-0.004541429316775375	-0.005890605239598037	4.5615	0.2704521854178699
81	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_245.fits	1	2.4	2	2	10.504329859898533	12.220247447100165	0.6038319588927695	-1.1345918579872176	4.354079366894744	0.03415279869883052	-0.0024162770704633427	4.9424	0.34666598145993244
82	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_247.fits	1	2.42	2	2	8.677009956072315	11.35638219170636	0.624313185289506	-1.0565598564485101	4.56206368030415	0.08937077286178385	-0.06257102915120298	4.9339	0.6299465799223686
83	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_250.fits	1	2.44	2	2	4.879511009767737	8.157554801325363	0.6034152422345238	-1.3100843919690475	3.8111739127329045	0.2126429689433594	0.01991399312134417	4.6866	0.695412719033005
84	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_252.fits	1	2.46	2	1	0	0	0.5544104702372082	-2.1176135992933913	3.8232551408955273	0.12798056399984203	-0.0053597234337607845	3.405	0.3708978142664096
85	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_255.fits	1	2.49	2	2	2.673291290193092	5.902010801718445	0.5344987489472428	-1.3589118346034146	2.93840783630338	0.2732747157608249	0.018185772454440016	1.7481	0.5199560064837716
