Counter	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
33	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_380.fits	1	3.72	1	1	0	0	0.5443146182689591	-1.9422705253763384	3.3965381664542473	0.06142072109915508	-0.0026439986493818016	1.5983	0.2908270547596619
34	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_400.fits	1	3.91	1	1	0	0	0.5511314198117695	-1.9251471878543482	3.4708134868230145	-0.018645455965934928	-0.0030087593287482137	1.5504	0.2538461008897172
35	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_420.fits	1	4.11	1	1	0	0	0.5747204549907428	-1.9412374164287391	3.249078560942238	-0.027623316281213846	0.004827601955671753	1.4838	0.1517562947627657
36	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_440.fits	1	4.29	1	1	0	0	0.5754089213309598	-1.9564099211656063	3.4512242547292518	-0.0645510547128704	-0.011076478483806926	1.5294	0.11405165534778272
37	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_460.fits	1	4.49	1	1	0	0	0.5482450920863139	-1.9460657606996983	3.3311388369156085	-0.029620516913042582	0.005876470731935668	1.5218	0.0887963177995565
38	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_480.fits	1	4.68	1	1	0	0	0.5629652540918144	-1.9317005352396661	3.318330449561022	-0.030190484359937236	0.0031167307558335787	1.5393	0.08480820454809301
39	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_500.fits	1	4.88	1	1	0	0	0.5482960936353004	-1.9487314642319544	3.3377516976096375	-0.011723436442788972	0.0011777329759364635	1.5156	0.14332095303613757
40	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_005.fits	1	0.05	2	1	0	0	0.5763805760975831	-1.7185538861761624	3.3416988270873977	-0.0343372178119967	0.01772535529348687	0.7268	0.127730263971344
41	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_060.fits	1	0.59	2	1	0	0	0.6021610328977601	-1.3307806376447184	2.2560377371920444	0.1292696602008833	0.014177953592945845	0.5655	0.5801248366425124
42	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_090.fits	1	0.88	2	1	0	0	0.5926624650999531	-1.7888089179679967	2.8533909614119715	0.056331917192364446	0.012556997238934635	0.8655	0.2362799125971047
