Counter	Image	Merger	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
0	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_005.fits	0	0.05	0	1	0	0	0.5194231861029952	-1.8867778375316762	2.9679751532982612	-0.04038691774588641	-0.008330248371515784	1.3398	0.09457622759644534
1	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_030.fits	0	0.29	0	1	0	0	0.5260169917812795	-1.8567247233705961	2.888245255175425	0.014126891526237282	0.009075038881692891	1.2423	0.10374494447592975
2	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_060.fits	0	0.59	0	1	0	0	0.5167127823946264	-1.8663540035731023	2.8528199117430244	-0.00013289837929477555	0.004644881472325065	1.2234	0.0718917183037094
3	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_090.fits	0	0.88	0	1	0	0	0.5069326105688609	-1.8327146336819895	2.8484075815941723	0.0241408519211547	0.00913210003101428	1.2096	0.1142256751619875
4	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_100.fits	0	0.98	0	1	0	0	0.4940546316539056	-1.7902730281218369	2.773504775698447	0.033478629971842595	0.01036749007908102	1.1332	0.12607554323279246
5	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_120.fits	0	1.17	0	1	0	0	0.4944506091326705	-1.8085211342477403	2.7847786717596597	0.0010101419716192523	0.006855149099081334	1.1429	0.09091949249334004
6	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_150.fits	0	1.47	0	1	0	0	0.5079779299057713	-1.8326590547501314	2.7942867545991623	0.0004165246212439788	0.011687783496902186	1.1286	0.1473803988174719
7	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_180.fits	0	1.76	0	1	0	0	0.4977360929511528	-1.8376787855478538	2.802994827158605	-0.013475813526417038	0.005949825760214481	1.1725	0.12640795390003357
8	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_200.fits	0	1.96	0	1	0	0	0.5067813288305202	-1.8332176660033244	2.7754738345323715	-0.009200301423630564	0.010248711805772425	1.1355	0.07769610507338041
9	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_005.fits	0	0.05	1	1	0	0	0.4959772406030663	-1.8278669322846057	2.9374455099645584	-0.0450308766147446	-0.006467730215783277	1.1794	0.06581328898797816
10	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_030.fits	0	0.29	1	1	0	0	0.5286992820760921	-1.810670456446942	2.861042979583404	-0.007180512811885728	-0.0034728223361329483	1.0869	0.061791760800511464
11	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_060.fits	0	0.59	1	1	0	0	0.520091127059239	-1.8459800134354059	2.863470836714926	-0.0070404047451927965	0.0027888758433850967	1.0911	0.06417398649561439
